timestamp,trend,predicted_trend,correct,confidence,price_enter,price_exit,reason,market_snapshot
2025-07-25 10:50:38.737263,flat,down,0.0,0.808,118264.63,,from_58,{}
2025-07-25 10:55:38.737263,flat,down,0.0,0.886,120577.21,,from_58,{}
2025-07-25 11:00:38.737263,down,down,1.0,0.717,120657.94,,from_58,{}
2025-07-25 11:05:38.737263,flat,flat,1.0,0.873,119926.86,,from_58,{}
2025-07-25 11:10:38.737263,up,up,1.0,0.818,119462.0,,from_58,{}
2025-07-25 11:15:38.737263,down,down,1.0,0.814,120855.5,,from_58,{}
2025-07-25 11:20:38.737263,up,flat,0.0,0.817,120909.98,,from_58,{}
2025-07-25 11:25:38.737263,down,down,1.0,0.788,120238.22,,from_58,{}
2025-07-25 11:30:38.737263,flat,flat,1.0,0.876,120787.21,,from_58,{}
2025-07-25 11:35:38.737263,up,up,1.0,0.663,119508.82,,from_58,{}
2025-07-25 11:40:38.737263,down,down,1.0,0.696,119683.91,,from_58,{}
2025-07-25 11:45:38.737263,up,up,1.0,0.78,120685.02,,from_58,{}
2025-07-25 11:50:38.737263,up,up,1.0,0.858,119289.78,,from_58,{}
2025-07-25 11:55:38.737263,up,up,1.0,0.928,119712.69,,from_58,{}
2025-07-25 12:00:38.737263,flat,flat,1.0,0.889,120013.26,,from_58,{}
2025-07-25 12:05:38.737263,up,up,1.0,0.806,118174.69,,from_58,{}
2025-07-25 12:10:38.737263,up,up,1.0,0.763,119062.19,,from_58,{}
2025-07-25 12:15:38.737263,flat,flat,1.0,0.67,120708.56,,from_58,{}
2025-07-25 12:20:38.737263,down,down,1.0,0.913,118639.73,,from_58,{}
2025-07-25 12:25:38.737263,up,up,1.0,0.943,118212.72,,from_58,{}
2025-07-25 12:30:38.737263,flat,flat,1.0,0.776,119719.19,,from_58,{}
2025-07-25 12:35:38.737263,flat,flat,1.0,0.76,118665.33,,from_58,{}
2025-07-25 12:40:38.737263,down,down,1.0,0.819,118926.85,,from_58,{}
2025-07-25 12:45:38.737263,flat,flat,1.0,0.891,120708.61,,from_58,{}
2025-07-25 12:50:38.737263,up,up,1.0,0.843,118771.8,,from_58,{}
