timestamp,open,high,low,close,volume,rsi,trend
2025-07-25 10:50:38.737263,118264.63,118268.3005037265,118259.71643517236,118264.63,0.91,50.0,flat
2025-07-25 10:55:38.737263,120577.21,120580.50773506984,120572.35975249096,120577.21,1.77,50.0,flat
2025-07-25 11:00:38.737263,120657.94,120662.14592773742,120653.01443844152,120657.94,1.37,50.0,down
2025-07-25 11:05:38.737263,119926.86,119929.19708654907,119924.68828022292,119926.86,1.51,50.0,flat
2025-07-25 11:10:38.737263,119462.0,119466.80335665964,119460.88151754052,119462.0,1.13,50.0,up
2025-07-25 11:15:38.737263,120855.5,120860.39747899248,120853.38411690702,120855.5,1.85,50.0,down
2025-07-25 11:20:38.737263,120909.98,120914.64905881556,120906.84033897196,120909.98,1.03,50.0,up
2025-07-25 11:25:38.737263,120238.22,120243.0069870654,120234.4266798522,120238.22,1.72,50.0,down
2025-07-25 11:30:38.737263,120787.21,120791.50601906273,120786.6214702925,120787.21,1.1,50.0,flat
2025-07-25 11:35:38.737263,119508.82,119512.66792095308,119507.29761938048,119508.82,0.73,50.0,up
2025-07-25 11:40:38.737263,119683.91,119684.88536796276,119682.0112820149,119683.91,0.76,50.0,down
2025-07-25 11:45:38.737263,120685.02,120687.95872380667,120684.2208556718,120685.02,1.16,50.0,up
2025-07-25 11:50:38.737263,119289.78,119290.78680759815,119289.052535584,119289.78,1.37,50.0,up
2025-07-25 11:55:38.737263,119712.69,119716.49636845876,119712.12588375607,119712.69,1.85,50.0,up
2025-07-25 12:00:38.737263,120013.26,120013.6538074337,120008.53867352274,120013.26,1.98,50.0,flat
2025-07-25 12:05:38.737263,118174.69,118178.08250238684,118173.3144099902,118174.69,1.44,50.0,up
2025-07-25 12:10:38.737263,119062.19,119062.68543465676,119059.78445461168,119062.19,1.57,50.0,up
2025-07-25 12:15:38.737263,120708.56,120710.07501829189,120704.04724556427,120708.56,0.99,50.0,flat
2025-07-25 12:20:38.737263,118639.73,118643.6730638816,118636.34492094725,118639.73,0.58,50.0,down
2025-07-25 12:25:38.737263,118212.72,118216.17955153064,118211.8293734228,118212.72,0.8,50.0,up
2025-07-25 12:30:38.737263,119719.19,119721.31166650784,119718.53818716072,119719.19,0.5,50.0,flat
2025-07-25 12:35:38.737263,118665.33,118667.6914335425,118664.67606105328,118665.33,1.7,50.0,flat
2025-07-25 12:40:38.737263,118926.85,118927.0951101953,118922.6361213828,118926.85,1.63,50.0,down
2025-07-25 12:45:38.737263,120708.61,120713.05777544124,120705.74815729732,120708.61,1.67,50.0,flat
2025-07-25 12:50:38.737263,118771.8,118775.53969793266,118767.20384439932,118771.8,1.0,50.0,up
2025-07-25 12:55:38.737263,118250.91,118252.62370966582,118247.12348271268,118250.91,1.8,50.0,flat
2025-07-25 13:00:38.737263,120329.41,120334.2559954702,120324.59466036072,120329.41,1.83,50.0,up
2025-07-25 13:05:38.737263,119972.46,119975.65642965554,119967.48506342885,119972.46,1.56,50.0,up
2025-07-25 13:10:38.737263,118914.16,118915.9652850908,118910.43689087318,118914.16,1.43,50.0,up
2025-07-25 13:15:38.737263,119077.37,119080.23588222406,119073.00978220436,119077.37,0.59,50.0,down
